央视,#genre#
冬奥纪实,http://111.20.33.70/PLTV/88888893/224/3221226232/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226232/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225675/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225676/index.m3u8
金鹰纪实,http://111.20.33.70/PLTV/88888893/224/3221226351/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226351/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225595/index.m3u8?fmt=ts2hls
河北,#genre#
河北影视剧,http://60.10.167.88:808/hls/60/index.m3u8#http://183.196.25.171:808/hls/19/index.m3u8#https://event.pull.hebtv.com/jishi/yingshijupindao.m3u8
河北都市,http://60.10.167.88:808/hls/59/index.m3u8#http://183.196.25.171:808/hls/18/index.m3u8#https://event.pull.hebtv.com/jishi/dushipindao.m3u8
河北经济生活,http://60.10.167.88:808/hls/58/index.m3u8#http://183.196.25.171:808/hls/17/index.m3u8#https://event.pull.hebtv.com/jishi/jingjishenghuo.m3u8
河北少儿科教,http://60.10.167.88:808/hls/61/index.m3u8#http://183.196.25.171:808/hls/20/index.m3u8#https://event.pull.hebtv.com/jishi/shaoerkejiao.m3u8
河北公共,http://60.10.167.88:808/hls/62/index.m3u8#http://183.196.25.171:808/hls/21/index.m3u8#https://event.pull.hebtv.com/jishi/gonggongpindao.m3u8
河北农民,http://60.10.167.88:808/hls/63/index.m3u8#http://183.196.25.171:808/hls/22/index.m3u8#https://event.pull.hebtv.com/jishi/nongminpindao.m3u8
石家庄新闻综合,http://pluslive1.sjzntv.cn/xmzh/playlist.m3u8?zhebd#https://jwplay.hebyun.com.cn/live/sjzxwzhtv/1500k/tzwj_video.m3u8#http://183.196.25.171:808/hls/23/index.m3u8
石家庄娱乐,http://183.196.25.171:808/hls/24/index.m3u8
石家庄生活,http://183.196.25.171:808/hls/25/index.m3u8
石家庄都市,http://183.196.25.171:808/hls/26/index.m3u8
沧县电视,http://hebcx.chinashadt.com:2036/live/10001.stream/playlist.m3u8
沧县二套,http://hebcx.chinashadt.com:2036/live/10002.stream/playlist.m3u8
NewTV,#genre#
NewTV东北热剧,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226202/index.m3u8
NewTV家庭剧场,http://39.134.66.4/PLTV/88888888/224/3221225538/index.m3u8
NewTV惊悚悬疑,http://39.134.66.4/PLTV/88888888/224/3221225553/index.m3u8
NewTV中国功夫,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225660/index.m3u8
NewTV军事评论,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225757/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV军旅剧场,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225669/index.m3u8
